repository	commit	branch	license	selected
anchore/grype	5917fe588250b59ebe4ee2fc5ebe03b8757f0dcb	main	Apache-2.0	3
aquasecurity/kube-bench	400645e682e0676bd2c9f0ead96e4d29ee306d13	main	Apache-2.0	2
docker-library/ruby	31475ec8e3682c1b3d3d78e222f264f564657b25	master	BSD-2-Clause	5
docker-library/php	3f88bab2dd63d9f7fcacfce5a440952137fc98b7	master	MIT	8
docker-library/memcached	53ac0ecb0bf88b471a0110f8996ce791baf1a667	master	BSD-3-Clause	2
rust-lang/docker-rust	b66cda4c654bc2f73a43a727563cf07cd26e9559	master	Apache-2.0	4
openresty/docker-openresty	517e3aee4e2601bc5bb6ca79b7caefaf01af64e5	master	BSD-2-Clause	4
kong/kong	22246ef28c16842098369b494eef879222e30c7b	master	Apache-2.0	1
apache/apisix	0f35b154824ed51d0d4bdadc78d1d5fa9ed1ec62	master	Apache-2.0	4
projectcalico/calico	f57443e0b8a84400f37fc5b985c19bf9a2357745	master	Apache-2.0	4
flannel-io/flannel	91b7108f39208a4d09c38be97912e0f1baceceab	master	Apache-2.0	1
kubernetes/ingress-nginx	dbb11b92ddb77bee9c35e462479129354c84f939	main	Apache-2.0	4
kubernetes-sigs/kind	3a8597e98e25e646978ad8dce41604e8175ad6d8	main	Apache-2.0	4
operator-framework/operator-sdk	299157a814e674f8f40d1b91ee77d64a90e850de	master	Apache-2.0	4
prometheus/blackbox_exporter	608d5ae1b0d1a14b7eabfc1f74de75ed995b7021	master	Apache-2.0	1
thanos-io/thanos	6e9c5121075ac81d7378eaf30b2c05bd292e0beb	main	Apache-2.0	1
cortexproject/cortex	a4974eaaf98285d5571de909bf99fed3f4280cae	master	Apache-2.0	1
netdata/netdata	d9958d2d12a7876e0e4a848bdba37a984fc21d52	master	GPL-3.0	1
apache/skywalking	f9edc58aef0b5eb50fd5dd477010f55156651858	master	Apache-2.0	2
apache/shardingsphere	6621687546488d654546b2c8a9f8bfd66cd12dfc	master	Apache-2.0	4
apache/iceberg	2f17d9bafdb643819530ec21371fd1380438303e	main	Apache-2.0	2
apache/pinot	28922369c889b448aaef396681b2966d1fb2a138	master	Apache-2.0	4
apache/ozone	0f6295ef3abc613f6bd3d5093a5cb10cde11f3b3	master	Apache-2.0	2
jenkinsci/docker	c87f0654d05a92707160f3867892fdebfa72f584	master	MIT	4
woodpecker-ci/woodpecker	2c1ebe7dca96879f8bb6ca27afc82bb6ff5514c7	main	Apache-2.0	1
drone/drone	64a772cdee3f8c54e529200e3ea33c49ed3a29f7	main	Apache-2.0	3
directus/directus	19b000ed723e3773a2eb4bf07440844a9e98df2d	main	NOASSERTION	2
appwrite/appwrite	d35fe79a3415b2a312e1e613064f81dd425fdb08	main	BSD-3-Clause	1
outline/outline	acd0cdfe7cbe162bf976c7e91f8c7722cd163815	main	NOASSERTION	1
